"","gender","age","trust_politicians","vote","freedom","satisfied_democracy"
"388",1,74,4,1,2,2
"389",1,86,1,2,5,2
"390",1,46,6,1,4,8
"391",2,62,8,1,3,6
"392",1,45,7,1,1,9
"393",2,29,4,1,2,7
"394",2,17,5,NA,4,4
"395",2,18,7,NA,2,10
"396",2,45,3,1,1,9
"397",1,41,5,1,2,6
"398",1,27,6,1,3,9
"399",2,22,6,1,1,8
"400",2,30,6,1,2,7
"401",2,62,5,1,2,6
"402",2,44,6,NA,2,7
"403",2,19,5,NA,2,8
"404",1,33,6,1,3,6
"405",2,23,5,1,2,5
"406",2,62,3,1,2,7
"407",2,82,4,2,2,8
"408",1,66,1,1,2,1
"409",2,84,7,1,2,9
"410",2,37,5,1,2,6
"411",1,52,3,1,4,6
"412",1,79,6,1,2,8
"413",1,44,6,1,2,8
"414",1,47,4,1,2,8
"415",1,58,0,1,2,3
"416",2,39,6,1,2,8
"417",2,17,7,2,2,7
"418",2,28,1,1,2,6
"419",1,19,5,NA,2,9
"420",2,70,7,1,4,10
"421",2,55,5,1,4,8
"422",2,57,8,1,1,10
"423",1,36,5,1,2,10
"424",1,17,8,NA,2,8
"425",1,54,8,1,3,9
"426",1,49,6,1,2,9
"427",2,72,7,1,2,9
"428",1,43,6,1,2,8
"429",1,16,6,NA,2,10
"430",1,15,6,NA,2,9
"431",2,43,7,2,3,7
"432",1,18,4,NA,2,5
"433",1,30,0,NA,2,7
"434",2,68,3,1,2,8
"435",2,27,3,1,4,5
"436",1,20,5,NA,2,9
"437",2,27,8,1,1,9
"438",2,71,6,1,4,6
"439",1,55,6,1,3,8
"440",1,42,4,1,2,5
"441",1,38,4,1,5,7
"442",1,40,7,1,5,9
"443",1,81,4,1,2,8
"444",1,22,2,1,3,4
"445",1,36,3,1,3,7
"446",1,43,5,1,1,4
"447",1,70,5,1,2,7
"448",2,59,8,1,2,8
"449",1,23,5,1,1,4
"450",2,36,5,2,1,7
"451",1,52,8,1,4,9
"452",1,65,8,1,2,5
"453",1,19,4,NA,3,5
"454",1,30,0,2,1,3
"455",1,60,3,1,3,8
"456",1,64,3,1,1,1
"457",1,18,6,NA,2,8
"458",1,53,3,1,4,7
"459",2,32,6,1,3,8
"460",2,31,5,2,1,8
"461",2,37,0,2,1,3
"462",2,25,4,1,1,7
"463",1,51,4,1,2,7
"464",2,18,5,NA,1,7
"465",1,68,6,1,2,8
"466",1,63,7,1,2,8
"467",2,32,7,1,3,7
"468",2,52,6,NA,3,8
"469",1,56,7,1,2,4
"470",1,52,3,1,2,6
"471",2,91,7,2,2,NA
"472",2,70,6,2,4,5
"473",1,61,8,1,5,8
"474",2,38,7,1,1,8
"475",2,39,5,1,1,8
"476",1,24,5,1,3,8
"477",1,88,0,1,1,2
"478",1,22,6,1,3,8
"479",2,89,6,1,2,10
"480",2,75,5,1,2,8
"481",1,46,9,1,5,10
"482",1,68,5,1,3,7
"483",2,39,5,1,5,7
"484",1,30,4,2,2,4
"485",1,35,5,2,2,NA
"486",2,28,5,1,1,6
"487",1,52,7,1,2,8
"488",1,48,5,1,2,10
"489",1,43,7,1,1,7
"490",2,21,8,2,2,9
"491",2,36,4,1,4,10
"492",1,59,7,1,5,8
"493",1,64,5,1,2,6
"494",1,55,1,2,2,8
"495",1,16,3,NA,1,8
"496",2,46,NA,NA,2,10
"497",2,22,8,1,2,8
"498",1,59,2,1,2,5
"499",1,50,8,1,4,10
"500",1,91,9,1,2,9
"501",1,53,5,1,3,7
"502",1,21,6,NA,2,10
"503",1,54,8,2,2,9
"504",2,60,7,1,4,8
"505",1,70,4,1,3,7
"506",2,19,10,NA,1,9
"507",1,95,9,1,3,10
"508",1,42,7,1,2,8
"509",1,39,6,2,1,7
"510",1,33,5,1,5,9
"511",2,34,5,1,3,10
"512",2,78,5,1,2,6
"513",2,19,5,1,2,7
"514",1,48,7,1,4,9
"515",2,47,6,1,4,7
"516",1,78,7,1,2,8
"517",1,54,7,1,5,9
"518",1,67,6,1,2,6
"519",2,40,5,1,5,8
"520",2,43,7,1,4,9
"521",1,34,6,1,4,4
"522",2,58,6,1,4,5
"523",2,78,5,1,3,5
"524",2,58,5,1,4,4
